"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"361",296,"Mouse","NP",67.80578457,45.8941407216667,TRUE
"362",298,"Mouse","NP",12.6808684,45.8941407216667,FALSE
"363",300,"Mouse","NP",NA,45.8941407216667,FALSE
"364",301,"Mouse","NP",1252.450635,45.8941407216667,TRUE
"365",302,"Mouse","NP",4.067824365,45.8941407216667,FALSE
"366",303,"Mouse","NP",5.351402015,45.8941407216667,FALSE
"367",305,"Mouse","NP",8.992072808,45.8941407216667,FALSE
"368",307,"Mouse","NP",3.808563817,45.8941407216667,FALSE
"369",308,"Mouse","NP",NA,45.8941407216667,FALSE
"370",310,"Mouse","NP",4.067824365,45.8941407216667,FALSE
"371",312,"Mouse","NP",NA,45.8941407216667,FALSE
"372",314,"Mouse","NP",NA,45.8941407216667,FALSE
"373",324,"Mouse","NP",NA,45.8941407216667,FALSE
"374",326,"Mouse","NP",NA,45.8941407216667,FALSE
"375",327,"Mouse","NP",4.840284482,45.8941407216667,FALSE
"376",328,"Mouse","NP",6.113187028,45.8941407216667,FALSE
"377",329,"Mouse","NP",NA,45.8941407216667,FALSE
"378",330,"Mouse","NP",5.8598618,45.8941407216667,FALSE
"379",331,"Mouse","NP",4.583621458,45.8941407216667,FALSE
"380",332,"Mouse","NP",2.495078703,45.8941407216667,FALSE
"381",342,"Mouse","NP",3.938314977,45.8941407216667,FALSE
"382",347,"Mouse","NP",1.687886223,45.8941407216667,FALSE
"383",348,"Mouse","NP",NA,45.8941407216667,FALSE
"384",352,"Mouse","NP",NA,45.8941407216667,FALSE
"385",353,"Mouse","NP",3.286929076,45.8941407216667,FALSE
"386",360,"Mouse","NP",NA,45.8941407216667,FALSE
"387",361,"Mouse","NP",864.9597405,45.8941407216667,TRUE
"388",362,"Mouse","NP",4.399895338,45.8941407216667,FALSE
"389",363,"Mouse","NP",NA,45.8941407216667,FALSE
"390",365,"Mouse","NP",NA,45.8941407216667,FALSE
"391",370,"Mouse","NP",1093.476155,45.8941407216667,TRUE
"392",373,"Mouse","NP",NA,45.8941407216667,FALSE
"393",375,"Mouse","NP",NA,45.8941407216667,FALSE
"394",379,"Mouse","NP",NA,45.8941407216667,FALSE
"395",380,"Mouse","NP",NA,45.8941407216667,FALSE
"396",382,"Mouse","NP",2.967552952,45.8941407216667,FALSE
"397",387,"Mouse","NP",NA,45.8941407216667,FALSE
"398",389,"Mouse","NP",NA,45.8941407216667,FALSE
"399",390,"Mouse","NP",NA,45.8941407216667,FALSE
"400",397,"Mouse","NP",1094.576609,45.8941407216667,TRUE
"401",398,"Mouse","NP",NA,45.8941407216667,FALSE
"402",401,"Mouse","NP",NA,45.8941407216667,FALSE
"403",402,"Mouse","NP",NA,45.8941407216667,FALSE
"404",403,"Mouse","NP",3.702699649,45.8941407216667,FALSE
